Game ID,Rental Date,Return Date,Rented Customer ID
elde02,01/07/2019,20/07/2019,wfrb
cod02,02/07/2019,29/07/2019,wfrb
fort01,27/07/2019,20/08/2019,wfrb
over02,26/08/2019,25/09/2019,ijkl
cod02,05/09/2019,20/09/2019,wfrb
cod01,18/09/2019,28/09/2019,ijkl
halo01,24/09/2019,01/10/2019,wfrb
doom02,11/10/2019,23/10/2019,coai
elde02,25/01/2020,11/02/2020,coai
over01,27/01/2020,10/02/2020,efgh
fifa02,27/01/2020,26/02/2020,efgh
cod01,05/02/2020,10/02/2020,coai
dark02,18/02/2020,21/02/2020,wfrb
fort02,27/02/2020,23/03/2020,mnop
halo02,11/05/2020,16/05/2020,coai
halo02,12/05/2020,09/06/2020,efgh
assa01,01/07/2020,16/07/2020,efgh
fifa02,11/07/2020,25/07/2020,coai
fifa02,04/08/2020,29/08/2020,wfrb
cod01,06/08/2020,26/08/2020,mnop
cod01,29/08/2020,26/09/2020,efgh
elde02,09/09/2020,28/09/2020,efgh
doom01,15/09/2020,16/09/2020,efgh
fifa02,29/09/2020,27/10/2020,ijkl
over01,04/10/2020,05/10/2020,ijkl
cod02,05/10/2020,29/10/2020,mnop
doom02,08/11/2020,03/12/2020,efgh
dark02,27/11/2020,26/12/2020,wfrb
dark01,02/12/2020,09/12/2020,coai
elde01,02/12/2020,17/12/2020,mnop
dark02,02/12/2020,30/12/2020,efgh
fifa01,18/01/2021,02/02/2021,efgh
over01,05/03/2021,14/03/2021,mnop
halo01,08/03/2021,06/04/2021,efgh
doom02,30/03/2021,05/04/2021,coai
assa02,16/04/2021,23/04/2021,wfrb
over01,22/04/2021,03/05/2021,coai
assa02,14/05/2021,03/06/2021,efgh
assa02,16/05/2021,15/06/2021,wfrb
halo01,25/05/2021,02/06/2021,efgh
dark01,10/06/2021,08/07/2021,efgh
dark01,13/06/2021,17/06/2021,mnop
fort02,20/06/2021,11/07/2021,efgh
mine01,23/06/2021,06/07/2021,mnop
mine02,15/07/2021,10/08/2021,ijkl
over02,31/07/2021,04/08/2021,ijkl
elde01,15/08/2021,04/09/2021,wfrb
over01,18/08/2021,07/09/2021,ijkl
fifa01,07/09/2021,09/09/2021,ijkl
fifa02,11/09/2021,09/10/2021,coai
elde02,13/09/2021,18/09/2021,wfrb
cod01,04/10/2021,20/10/2021,coai
cod02,24/10/2021,27/10/2021,wfrb
halo02,15/11/2021,27/11/2021,coai
mine01,10/12/2021,26/12/2021,wfrb
halo01,13/12/2021,30/12/2021,mnop
mine02,19/12/2021,17/01/2022,efgh
dark02,10/01/2022,26/01/2022,coai
fort02,18/01/2022,13/02/2022,efgh
halo02,22/01/2022,01/02/2022,wfrb
over01,11/02/2022,12/03/2022,mnop
halo02,06/03/2022,21/03/2022,coai
doom01,07/03/2022,20/03/2022,coai
mine02,16/03/2022,11/04/2022,wfrb
fort02,05/04/2022,06/04/2022,mnop
cod01,23/05/2022,24/05/2022,mnop
halo02,10/06/2022,30/06/2022,mnop
fifa02,04/07/2022,14/07/2022,wfrb
assa02,07/07/2022,25/07/2022,efgh
dark01,17/07/2022,23/07/2022,efgh
fifa02,14/08/2022,16/08/2022,ijkl
dark02,27/08/2022,01/09/2022,ijkl
elde01,28/08/2022,20/09/2022,ijkl
mine01,17/09/2022,15/10/2022,wfrb
halo02,21/09/2022,05/10/2022,coai
dark01,01/10/2022,04/10/2022,mnop
mine01,12/10/2022,31/10/2022,wfrb
assa02,16/10/2022,11/11/2022,wfrb
doom01,25/11/2022,20/12/2022,coai
fort02,20/12/2022,14/01/2023,ijkl
fort01,29/12/2022,05/01/2023,efgh
halo01,06/02/2023,17/02/2023,mnop
mine02,14/02/2023,18/02/2023,wfrb
cod02,10/03/2023,27/03/2023,wfrb
doom02,11/03/2023,21/03/2023,coai
assa02,31/03/2023,20/04/2023,wfrb
mine01,07/04/2023,07/05/2023,ijkl
fifa02,07/04/2023,20/04/2023,efgh
cod02,29/04/2023,21/05/2023,ijkl
doom02,15/05/2023,13/06/2023,mnop
halo01,18/05/2023,24/05/2023,ijkl
over01,21/05/2023,14/06/2023,ijkl
elde02,15/06/2023,27/06/2023,ijkl
elde02,20/06/2023,21/06/2023,efgh
halo02,22/06/2023,10/07/2023,efgh
mine01,02/07/2023,12/07/2023,coai
dark01,17/07/2023,31/07/2023,ijkl
fort02,12/09/2023,18/09/2023,efgh
elde01,20/09/2023,03/10/2023,mnop
dark01,27/09/2023,03/10/2023,ijkl
cod02,24/10/2023,11/11/2023,ijkl
assa01,30/10/2023,13/11/2023,mnop
assa02,04/12/2023,30/12/2023,mnop
dark01,05/12/2023,31/12/2023,ijkl
elde01,11/12/2023,30/12/2023,efgh
elde01,12/12/2023,12/12/2023,mnop
dark01,12/12/2023,,mnop
